2026-02-07 13:36:02 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:36:58 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:39:22 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:40:01 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:40:02 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:40:35 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:40:49 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:40:49 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:40:49 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:40:49 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:40:49 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:40:49 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:40:49 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:40:49 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:40:49 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:40:49 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:41:21 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:41:21 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:41:21 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:41:21 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:41:21 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:41:21 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:41:21 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:41:36 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:41:36 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:41:36 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:41:36 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:41:36 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:41:36 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:41:36 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:42:02 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:42:02 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:42:02 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:42:02 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:42:02 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:42:02 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:42:02 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:42:02 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:42:29 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:42:29 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:42:29 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:42:29 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:42:29 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:42:29 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:42:29 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:42:29 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:42:29 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:42:29 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:42:29 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:43:05 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:43:05 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:43:05 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:43:05 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:43:05 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:43:05 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:43:05 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:43:05 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:43:05 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:43:05 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:43:05 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:43:31 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:43:31 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
2026-02-07 13:43:31 | ERROR   | database_errors | log_manager | DB_ERROR|Соединенние с бд закрыто| QUERY: None| PARAMS: None
